Date;League;HomeTeam;AwayTeam;Book;Market;Line;Odd;MuHome;MuAway;MuTotal;StdTotal;ProbModel;ProbMarket;Edge;KellyTrue;HomeGamesUsed;AwayGamesUsed;StakeFracRaw;StakeFrac;Stake€;DailyScale;Bankroll€
2026-05-02;nba;Houston Rockets;Los Angeles Lakers;lowvig;OVER;205.5;1.93;104.36;101.58;220.35;11.5;0.9018;0.5181;0.3836;0.7961;0;0;0.19902980020293604;0.05;25.0;1.0;500.0
2026-05-02;nba;Boston Celtics;Philadelphia 76ers;lowvig;OVER;206.0;1.93;104.36;101.58;220.35;11.5;0.894;0.5181;0.3759;0.78;0;0;0.19501150067322262;0.05;25.0;1.0;500.0
2026-05-01;nba;Orlando Magic;Detroit Pistons;lowvig;OVER;209.5;1.93;104.36;101.58;220.35;11.5;0.8274;0.5181;0.3092;0.6417;0;0;0.16043370313022773;0.05;25.0;1.0;500.0
2026-05-01;nba;Toronto Raptors;Cleveland Cavaliers;bovada;OVER;219.0;1.91;104.36;101.58;220.35;11.5;0.5469;0.5236;0.0233;0.0489;0;0;0.01222234927933282;0.0122;6.11;1.0;500.0
