Date,HomeTeam,AwayTeam,FTHG,FTAG
07/03/2026,Sydney,Melbourne Victory,2,2
08/03/2026,Auckland,Perth Glory,2,2
13/03/2026,Brisbane Roar,Western Sydney Wanderers,2,2
14/03/2026,Central Coast Mariners,Adelaide United,1,1
14/03/2026,Newcastle Jets,Auckland,1,2
14/03/2026,Wellington Phoenix,Perth Glory,2,0
15/03/2026,Melbourne Victory,Macarthur,4,1
17/03/2026,Sydney,Melbourne City,0,1
20/03/2026,Western Sydney Wanderers,Adelaide United,2,4
21/03/2026,Auckland,Macarthur,1,2
21/03/2026,Brisbane Roar,Wellington Phoenix,1,2
21/03/2026,Melbourne Victory,Central Coast Mariners,4,1
22/03/2026,Perth Glory,Melbourne City,1,1
22/03/2026,Sydney,Newcastle Jets,1,2
02/04/2026,Brisbane Roar,Sydney,0,0
02/04/2026,Macarthur,Newcastle Jets,3,2
03/04/2026,Adelaide United,Auckland,1,1
04/04/2026,Central Coast Mariners,Perth Glory,2,2
04/04/2026,Melbourne City,Western Sydney Wanderers,3,0
05/04/2026,Melbourne Victory,Wellington Phoenix,0,1
07/04/2026,Melbourne City,Central Coast Mariners,2,1
10/04/2026,Central Coast Mariners,Brisbane Roar,2,2
11/04/2026,Auckland,Melbourne Victory,2,2
11/04/2026,Newcastle Jets,Adelaide United,1,1
11/04/2026,Western Sydney Wanderers,Sydney,0,2
12/04/2026,Melbourne City,Wellington Phoenix,2,0
12/04/2026,Perth Glory,Macarthur,3,1
17/04/2026,Melbourne Victory,Newcastle Jets,2,2
18/04/2026,Brisbane Roar,Melbourne City,2,3
18/04/2026,Sydney,Perth Glory,0,0
18/04/2026,Wellington Phoenix,Western Sydney Wanderers,2,1
19/04/2026,Adelaide United,Macarthur,3,1
19/04/2026,Auckland,Central Coast Mariners,0,1
24/04/2026,Macarthur,Wellington Phoenix,4,0
25/04/2026,Newcastle Jets,Central Coast Mariners,4,0
25/04/2026,Perth Glory,Brisbane Roar,2,1
25/04/2026,Western Sydney Wanderers,Melbourne Victory,0,2
26/04/2026,Melbourne City,Adelaide United,1,2
26/04/2026,Sydney,Auckland,2,2
02/05/2026,Melbourne Victory,Sydney,0,1
09/05/2026,Auckland,Adelaide United,1,1
09/05/2026,Sydney,Newcastle Jets,1,1
15/05/2026,Adelaide United,Auckland,0,3
