Date,HomeTeam,AwayTeam,FTHG,FTAG
02/11/2024,Zaragoza,Granada CF,2,1
03/11/2024,Oviedo,Burgos,3,1
03/11/2024,Tenerife,Mirandes,1,0
08/11/2024,Elche,Almeria,1,2
09/11/2024,Granada CF,Eldense,3,2
09/11/2024,Huesca,Zaragoza,1,1
09/11/2024,Malaga,FC Cartagena,1,0
09/11/2024,Mirandes,Cadiz,2,2
10/11/2024,Albacete,Oviedo,2,2
10/11/2024,Burgos,Sporting Gijon,0,2
10/11/2024,Cordoba,Castellón,2,2
10/11/2024,Racing Ferrol,Racing Santander,1,2
11/11/2024,Deportivo La Coruna,Eibar,1,0
16/11/2024,Castellón,Mirandes,1,3
16/11/2024,Eibar,Racing Ferrol,2,0
16/11/2024,Eldense,Albacete,2,0
16/11/2024,Levante,Elche,1,1
16/11/2024,Racing Santander,Burgos,2,0
16/11/2024,Sporting Gijon,Granada CF,1,2
17/11/2024,Almeria,Deportivo La Coruna,2,1
17/11/2024,Cadiz,Cordoba,2,0
17/11/2024,FC Cartagena,Huesca,1,0
17/11/2024,Oviedo,Tenerife,3,1
17/11/2024,Zaragoza,Malaga,0,0
20/11/2024,Eldense,Huesca,2,1
22/11/2024,Racing Ferrol,Levante,0,0
23/11/2024,Burgos,Eibar,1,0
23/11/2024,Cordoba,Zaragoza,2,2
23/11/2024,FC Cartagena,Almeria,1,2
23/11/2024,Granada CF,Cadiz,0,0
23/11/2024,Malaga,Racing Santander,0,0
24/11/2024,Albacete,Tenerife,2,1
24/11/2024,Deportivo La Coruna,Sporting Gijon,1,1
24/11/2024,Elche,Oviedo,4,0
24/11/2024,Huesca,Castellón,1,1
24/11/2024,Mirandes,Eldense,1,0
26/11/2024,Almeria,Cordoba,4,0
27/11/2024,Castellón,Racing Ferrol,0,0
27/11/2024,Levante,Malaga,4,2
29/11/2024,Oviedo,Huesca,0,3
30/11/2024,Almeria,Granada CF,2,1
30/11/2024,Cadiz,Deportivo La Coruna,2,4
30/11/2024,Racing Santander,Mirandes,0,1
30/11/2024,Tenerife,Elche,1,1
30/11/2024,Zaragoza,Albacete,0,1
01/12/2024,Castellón,Malaga,2,0
01/12/2024,Eldense,Racing Ferrol,0,0
01/12/2024,Levante,Burgos,3,1
01/12/2024,Sporting Gijon,Cordoba,2,0
02/12/2024,Eibar,FC Cartagena,1,0
06/12/2024,Mirandes,Levante,2,1
07/12/2024,Deportivo La Coruna,Zaragoza,1,1
07/12/2024,Elche,Cadiz,2,1
07/12/2024,Granada CF,Racing Santander,3,0
07/12/2024,Huesca,Eibar,2,1
08/12/2024,Albacete,Castellón,0,0
08/12/2024,Burgos,Eldense,1,0
08/12/2024,Cordoba,Tenerife,3,0
08/12/2024,Malaga,Almeria,1,1
08/12/2024,Racing Ferrol,Oviedo,1,5
09/12/2024,FC Cartagena,Sporting Gijon,1,0
13/12/2024,Almeria,Mirandes,1,0
14/12/2024,Cadiz,Albacete,1,0
14/12/2024,Castellón,FC Cartagena,4,1
14/12/2024,Eibar,Zaragoza,2,1
14/12/2024,Eldense,Elche,0,0
14/12/2024,Levante,Cordoba,2,2
14/12/2024,Oviedo,Granada CF,2,0
15/12/2024,Burgos,Malaga,0,0
15/12/2024,Racing Santander,Huesca,0,1
15/12/2024,Sporting Gijon,Racing Ferrol,1,3
17/12/2024,Albacete,Levante,0,0
17/12/2024,Cordoba,Eibar,2,1
17/12/2024,Granada CF,FC Cartagena,4,1
17/12/2024,Zaragoza,Oviedo,2,3
18/12/2024,Malaga,Eldense,3,0
18/12/2024,Mirandes,Sporting Gijon,1,1
18/12/2024,Racing Ferrol,Almeria,1,4
19/12/2024,Cadiz,Burgos,1,1
19/12/2024,Deportivo La Coruna,Castellón,5,1
19/12/2024,Elche,Racing Santander,3,0
19/12/2024,Huesca,Tenerife,1,0
20/12/2024,FC Cartagena,Albacete,0,0
21/12/2024,Eibar,Granada CF,1,1
21/12/2024,Oviedo,Cordoba,2,3
21/12/2024,Sporting Gijon,Malaga,1,3
21/12/2024,Zaragoza,Racing Ferrol,1,0
22/12/2024,Almeria,Cadiz,1,1
22/12/2024,Burgos,Tenerife,1,0
22/12/2024,Castellón,Elche,0,2
22/12/2024,Deportivo La Coruna,Mirandes,0,4
22/12/2024,Levante,Huesca,1,1
22/12/2024,Racing Santander,Eldense,2,2
07/01/2025,Tenerife,Levante,0,3
10/01/2025,Granada CF,Burgos,0,0
11/01/2025,Albacete,Racing Santander,2,2
11/01/2025,Huesca,Mirandes,1,0
11/01/2025,Malaga,Deportivo La Coruna,1,1
11/01/2025,Oviedo,Sporting Gijon,1,1
11/01/2025,Racing Ferrol,FC Cartagena,0,0
11/01/2025,Tenerife,Castellón,2,0
12/01/2025,Cadiz,Levante,0,0
12/01/2025,Cordoba,Almeria,0,3
12/01/2025,Elche,Zaragoza,1,0
13/01/2025,Eldense,Eibar,1,3
17/01/2025,FC Cartagena,Oviedo,0,1
18/01/2025,Eibar,Albacete,1,1
18/01/2025,Eldense,Cadiz,1,4
18/01/2025,Levante,Granada CF,3,1
18/01/2025,Sporting Gijon,Elche,1,1
19/01/2025,Almeria,Huesca,0,0
19/01/2025,Burgos,Deportivo La Coruna,0,1
19/01/2025,Castellón,Cordoba,1,2
19/01/2025,Racing Santander,Racing Ferrol,6,0
19/01/2025,Zaragoza,Tenerife,2,2
20/01/2025,Mirandes,Malaga,3,2
24/01/2025,Elche,Eibar,2,0
25/01/2025,Cordoba,Racing Santander,1,2
25/01/2025,Deportivo La Coruna,Levante,1,2
25/01/2025,Huesca,FC Cartagena,4,0
25/01/2025,Tenerife,Eldense,0,1
26/01/2025,Albacete,Almeria,2,1
26/01/2025,Granada CF,Sporting Gijon,3,1
26/01/2025,Malaga,Zaragoza,1,2
26/01/2025,Oviedo,Castellón,1,0
27/01/2025,Cadiz,Mirandes,3,1
29/01/2025,Tenerife,Deportivo La Coruna,0,0
31/01/2025,Eldense,Granada CF,0,3
01/02/2025,Almeria,Oviedo,1,1
01/02/2025,Mirandes,Elche,3,0
01/02/2025,Racing Santander,Malaga,2,1
01/02/2025,Sporting Gijon,Burgos,2,0
02/02/2025,Castellón,Huesca,0,1
02/02/2025,Eibar,Deportivo La Coruna,0,1
02/02/2025,FC Cartagena,Cordoba,0,1
02/02/2025,Tenerife,Albacete,3,1
02/02/2025,Zaragoza,Cadiz,0,0
03/02/2025,Levante,Racing Ferrol,0,1
07/02/2025,Albacete,Zaragoza,2,1
08/02/2025,Granada CF,Mirandes,0,0
08/02/2025,Malaga,Levante,1,1
08/02/2025,Racing Ferrol,Castellón,1,3
08/02/2025,Sporting Gijon,Eibar,0,0
09/02/2025,Burgos,Racing Santander,2,1
09/02/2025,Cadiz,FC Cartagena,5,2
09/02/2025,Cordoba,Huesca,1,2
09/02/2025,Deportivo La Coruna,Almeria,3,1
09/02/2025,Elche,Tenerife,2,0
10/02/2025,Oviedo,Eldense,0,0
14/02/2025,Mirandes,Racing Ferrol,4,1
15/02/2025,Castellón,Eibar,2,0
15/02/2025,FC Cartagena,Malaga,0,1
15/02/2025,Racing Santander,Cadiz,2,3
15/02/2025,Tenerife,Cordoba,2,3
16/02/2025,Eldense,Deportivo La Coruna,2,0
16/02/2025,Huesca,Granada CF,1,1
16/02/2025,Levante,Sporting Gijon,0,0
16/02/2025,Oviedo,Albacete,1,0
16/02/2025,Zaragoza,Burgos,0,1
17/02/2025,Almeria,Elche,1,1
21/02/2025,Malaga,Tenerife,1,0
22/02/2025,Burgos,Oviedo,1,2
22/02/2025,Eibar,Racing Santander,2,2
22/02/2025,Granada CF,Zaragoza,2,2
22/02/2025,Racing Ferrol,Cordoba,0,1
22/02/2025,Sporting Gijon,Almeria,1,1
23/02/2025,Albacete,Eldense,0,1
23/02/2025,Cadiz,Castellón,0,0
23/02/2025,Deportivo La Coruna,Huesca,0,0
23/02/2025,Elche,FC Cartagena,2,1
23/02/2025,Levante,Mirandes,1,0
28/02/2025,FC Cartagena,Eibar,0,2
01/03/2025,Almeria,Malaga,2,2
01/03/2025,Castellón,Burgos,2,1
01/03/2025,Huesca,Racing Ferrol,3,1
01/03/2025,Zaragoza,Sporting Gijon,1,1
02/03/2025,Albacete,Cadiz,3,0
02/03/2025,Cordoba,Granada CF,5,0
02/03/2025,Eldense,Levante,1,2
02/03/2025,Oviedo,Deportivo La Coruna,1,2
02/03/2025,Racing Santander,Elche,2,0
03/03/2025,Mirandes,Tenerife,2,0
05/03/2025,Racing Ferrol,Burgos,0,1
07/03/2025,Deportivo La Coruna,Cordoba,1,1
07/03/2025,Eibar,Almeria,1,0
08/03/2025,Elche,Castellón,3,1
08/03/2025,Mirandes,Oviedo,1,0
08/03/2025,Sporting Gijon,Racing Santander,1,1
08/03/2025,Zaragoza,Eldense,2,4
09/03/2025,Granada CF,Racing Ferrol,3,0
09/03/2025,Levante,FC Cartagena,3,0
09/03/2025,Malaga,Cadiz,0,2
09/03/2025,Tenerife,Huesca,2,0
10/03/2025,Burgos,Albacete,1,0
14/03/2025,Oviedo,Elche,1,1
15/03/2025,Albacete,Malaga,2,0
15/03/2025,Almeria,Zaragoza,4,1
15/03/2025,Cordoba,Sporting Gijon,1,1
15/03/2025,FC Cartagena,Burgos,0,1
15/03/2025,Racing Ferrol,Eibar,0,0
16/03/2025,Cadiz,Granada CF,1,0
16/03/2025,Eldense,Mirandes,2,2
16/03/2025,Huesca,Levante,1,2
16/03/2025,Racing Santander,Tenerife,2,1
17/03/2025,Castellón,Deportivo La Coruna,2,2
21/03/2025,Burgos,Almeria,3,1
22/03/2025,Elche,Eldense,2,0
22/03/2025,Granada CF,Oviedo,1,0
22/03/2025,Malaga,Racing Ferrol,2,0
22/03/2025,Mirandes,Racing Santander,2,1
23/03/2025,Deportivo La Coruna,FC Cartagena,2,2
23/03/2025,Eibar,Huesca,2,1
23/03/2025,Levante,Castellón,3,2
23/03/2025,Sporting Gijon,Albacete,0,2
23/03/2025,Tenerife,Cadiz,2,1
24/03/2025,Zaragoza,Cordoba,1,1
28/03/2025,Tenerife,Granada CF,2,1
29/03/2025,Almeria,Levante,1,0
29/03/2025,Eldense,Burgos,0,0
29/03/2025,FC Cartagena,Castellón,2,2
29/03/2025,Racing Ferrol,Deportivo La Coruna,0,1
29/03/2025,Racing Santander,Zaragoza,2,0
30/03/2025,Albacete,Mirandes,3,2
30/03/2025,Cordoba,Elche,1,2
30/03/2025,Huesca,Sporting Gijon,3,2
30/03/2025,Oviedo,Malaga,2,1
31/03/2025,Cadiz,Eibar,0,0
04/04/2025,Castellón,Albacete,2,2
05/04/2025,Eibar,Oviedo,1,1
05/04/2025,FC Cartagena,Eldense,0,1
05/04/2025,Granada CF,Almeria,3,1
05/04/2025,Sporting Gijon,Tenerife,1,3
06/04/2025,Burgos,Huesca,2,1
06/04/2025,Deportivo La Coruna,Cadiz,1,0
06/04/2025,Levante,Racing Santander,3,1
06/04/2025,Malaga,Cordoba,0,1
06/04/2025,Zaragoza,Mirandes,1,0
07/04/2025,Elche,Racing Ferrol,1,0
11/04/2025,Cordoba,Levante,2,2
12/04/2025,Cadiz,Elche,0,1
12/04/2025,Oviedo,Racing Ferrol,3,0
12/04/2025,Tenerife,Burgos,0,0
12/04/2025,Zaragoza,Eibar,2,2
13/04/2025,Albacete,Granada CF,0,2
13/04/2025,Almeria,FC Cartagena,2,1
13/04/2025,Eldense,Sporting Gijon,1,2
13/04/2025,Mirandes,Deportivo La Coruna,2,2
13/04/2025,Racing Santander,Castellón,1,1
14/04/2025,Huesca,Malaga,1,0
18/04/2025,Castellón,Almeria,4,1
18/04/2025,Sporting Gijon,Mirandes,3,1
19/04/2025,Burgos,Cadiz,2,2
19/04/2025,Huesca,Racing Santander,1,3
19/04/2025,Levante,Zaragoza,5,2
19/04/2025,Racing Ferrol,Eldense,1,0
20/04/2025,Cordoba,Oviedo,0,0
20/04/2025,Deportivo La Coruna,Tenerife,0,0
20/04/2025,Elche,Albacete,2,2
20/04/2025,FC Cartagena,Granada CF,2,3
21/04/2025,Eibar,Malaga,2,2
25/04/2025,Cadiz,Sporting Gijon,1,0
26/04/2025,Albacete,FC Cartagena,3,1
26/04/2025,Eldense,Cordoba,1,1
26/04/2025,Granada CF,Elche,1,1
26/04/2025,Mirandes,Burgos,2,1
26/04/2025,Oviedo,Levante,1,0
27/04/2025,Malaga,Castellón,1,0
27/04/2025,Racing Santander,Deportivo La Coruna,2,1
27/04/2025,Tenerife,Eibar,1,1
27/04/2025,Zaragoza,Huesca,1,1
29/04/2025,Almeria,Racing Ferrol,2,1
02/05/2025,Cordoba,Cadiz,4,2
03/05/2025,Burgos,Elche,0,1
03/05/2025,Eibar,Mirandes,0,1
03/05/2025,Huesca,Oviedo,1,2
03/05/2025,Malaga,Granada CF,1,0
04/05/2025,Almeria,Eldense,5,0
04/05/2025,Deportivo La Coruna,Albacete,5,1
04/05/2025,FC Cartagena,Racing Santander,1,0
04/05/2025,Levante,Tenerife,1,1
04/05/2025,Racing Ferrol,Zaragoza,1,2
