Date,HomeTeam,AwayTeam,FTHG,FTAG
14/06/2025,Suwon City FC,FC Anyang,1,2
17/06/2025,Daegu FC,Pohang Steelers,1,1
17/06/2025,FC Seoul,Gangwon FC,1,1
17/06/2025,Jeonbuk Motors,Suwon City FC,3,2
18/06/2025,Daejeon Citizen,Gimcheon Sangmu FC,0,0
18/06/2025,Jeju United FC,Gwangju FC,0,1
21/06/2025,Gangwon FC,Daegu FC,3,0
21/06/2025,Jeonbuk Motors,FC Seoul,1,1
21/06/2025,Pohang Steelers,Jeju United FC,2,1
22/06/2025,Gimcheon Sangmu FC,FC Anyang,1,0
22/06/2025,Gwangju FC,Daejeon Citizen,2,2
27/06/2025,Daejeon Citizen,Jeju United FC,1,1
27/06/2025,Gimcheon Sangmu FC,Jeonbuk Motors,1,2
28/06/2025,FC Anyang,Gwangju FC,1,2
28/06/2025,Suwon City FC,Gangwon FC,1,2
29/06/2025,FC Seoul,Pohang Steelers,4,1
12/07/2025,Ulsan Hyundai FC,Daegu FC,2,2
18/07/2025,Daegu FC,Gimcheon Sangmu FC,2,3
18/07/2025,Suwon City FC,Gwangju FC,2,1
19/07/2025,Gangwon FC,Daejeon Citizen,2,2
19/07/2025,Jeju United FC,FC Anyang,2,0
19/07/2025,Pohang Steelers,Jeonbuk Motors,2,3
20/07/2025,FC Seoul,Ulsan Hyundai FC,1,0
22/07/2025,FC Anyang,Daegu FC,4,0
22/07/2025,Gwangju FC,Gimcheon Sangmu FC,1,1
22/07/2025,Pohang Steelers,Suwon City FC,1,5
23/07/2025,Jeju United FC,FC Seoul,3,2
23/07/2025,Jeonbuk Motors,Gangwon FC,2,0
23/07/2025,Ulsan Hyundai FC,Daejeon Citizen,1,2
26/07/2025,Gimcheon Sangmu FC,Jeju United FC,3,1
26/07/2025,Gwangju FC,Jeonbuk Motors,1,2
26/07/2025,Suwon City FC,FC Anyang,2,1
27/07/2025,Daegu FC,Pohang Steelers,0,1
27/07/2025,Daejeon Citizen,FC Seoul,0,1
27/07/2025,Gangwon FC,Ulsan Hyundai FC,2,2
02/08/2025,Ulsan Hyundai FC,Suwon City FC,2,3
08/08/2025,FC Seoul,Daegu FC,2,2
08/08/2025,Jeonbuk Motors,FC Anyang,2,1
09/08/2025,Gangwon FC,Gimcheon Sangmu FC,0,0
09/08/2025,Ulsan Hyundai FC,Jeju United FC,1,0
10/08/2025,Daejeon Citizen,Suwon City FC,3,2
10/08/2025,Pohang Steelers,Gwangju FC,1,0
15/08/2025,FC Anyang,Pohang Steelers,0,1
15/08/2025,Jeju United FC,Gangwon FC,0,0
16/08/2025,Jeonbuk Motors,Daegu FC,3,0
16/08/2025,Suwon City FC,Ulsan Hyundai FC,4,2
17/08/2025,Gimcheon Sangmu FC,FC Seoul,6,2
17/08/2025,Gwangju FC,Daejeon Citizen,2,0
23/08/2025,Daegu FC,Jeju United FC,2,2
23/08/2025,Gimcheon Sangmu FC,Suwon City FC,3,2
23/08/2025,Gwangju FC,Gangwon FC,0,1
24/08/2025,FC Anyang,Daejeon Citizen,3,2
24/08/2025,FC Seoul,Ulsan Hyundai FC,3,2
24/08/2025,Pohang Steelers,Jeonbuk Motors,3,1
30/08/2025,Daegu FC,Suwon City FC,3,1
30/08/2025,Jeju United FC,Gwangju FC,0,1
30/08/2025,Ulsan Hyundai FC,Jeonbuk Motors,0,2
31/08/2025,Daejeon Citizen,Gimcheon Sangmu FC,2,1
31/08/2025,FC Seoul,FC Anyang,1,2
31/08/2025,Gangwon FC,Pohang Steelers,1,0
13/09/2025,Gangwon FC,FC Seoul,3,2
13/09/2025,Jeonbuk Motors,Daejeon Citizen,1,0
13/09/2025,Pohang Steelers,Ulsan Hyundai FC,1,1
14/09/2025,FC Anyang,Jeju United FC,2,1
14/09/2025,Gimcheon Sangmu FC,Daegu FC,1,2
14/09/2025,Suwon City FC,Gwangju FC,2,4
20/09/2025,Daejeon Citizen,Daegu FC,3,2
20/09/2025,Jeonbuk Motors,Gimcheon Sangmu FC,1,2
21/09/2025,FC Seoul,Gwangju FC,3,0
21/09/2025,Pohang Steelers,Jeju United FC,1,0
21/09/2025,Suwon City FC,Gangwon FC,1,0
21/09/2025,Ulsan Hyundai FC,FC Anyang,0,0
27/09/2025,Daegu FC,Ulsan Hyundai FC,1,1
27/09/2025,FC Seoul,Jeonbuk Motors,1,1
27/09/2025,Gangwon FC,Daejeon Citizen,0,0
27/09/2025,Gimcheon Sangmu FC,Pohang Steelers,2,0
28/09/2025,FC Anyang,Gwangju FC,0,0
28/09/2025,Jeju United FC,Suwon City FC,3,4
03/10/2025,Jeju United FC,Jeonbuk Motors,1,1
04/10/2025,Gwangju FC,Daegu FC,2,3
05/10/2025,Gangwon FC,FC Anyang,1,1
05/10/2025,Gimcheon Sangmu FC,Ulsan Hyundai FC,3,0
05/10/2025,Pohang Steelers,Daejeon Citizen,1,3
05/10/2025,Suwon City FC,FC Seoul,1,1
18/10/2025,Daegu FC,Gangwon FC,2,2
18/10/2025,Daejeon Citizen,Jeju United FC,3,1
18/10/2025,FC Anyang,Gimcheon Sangmu FC,4,1
18/10/2025,FC Seoul,Pohang Steelers,1,2
18/10/2025,Jeonbuk Motors,Suwon City FC,2,0
18/10/2025,Ulsan Hyundai FC,Gwangju FC,2,0
25/10/2025,Gwangju FC,FC Anyang,1,0
25/10/2025,Jeonbuk Motors,Gimcheon Sangmu FC,2,3
25/10/2025,Suwon City FC,Jeju United FC,1,2
26/10/2025,Daejeon Citizen,Pohang Steelers,2,0
26/10/2025,FC Seoul,Gangwon FC,4,2
26/10/2025,Ulsan Hyundai FC,Daegu FC,1,1
01/11/2025,Daejeon Citizen,FC Seoul,3,1
01/11/2025,FC Anyang,Ulsan Hyundai FC,3,1
01/11/2025,Gangwon FC,Jeonbuk Motors,0,0
01/11/2025,Gimcheon Sangmu FC,Pohang Steelers,0,1
02/11/2025,Gwangju FC,Jeju United FC,2,0
02/11/2025,Suwon City FC,Daegu FC,1,1
08/11/2025,Daegu FC,Gwangju FC,1,0
08/11/2025,Gimcheon Sangmu FC,Gangwon FC,0,1
08/11/2025,Jeju United FC,FC Anyang,1,2
08/11/2025,Jeonbuk Motors,Daejeon Citizen,3,1
09/11/2025,Pohang Steelers,FC Seoul,0,0
09/11/2025,Ulsan Hyundai FC,Suwon City FC,1,0
22/11/2025,Daejeon Citizen,Gangwon FC,1,1
22/11/2025,FC Anyang,Suwon City FC,0,1
22/11/2025,FC Seoul,Gimcheon Sangmu FC,1,3
22/11/2025,Gwangju FC,Ulsan Hyundai FC,2,0
22/11/2025,Pohang Steelers,Jeonbuk Motors,0,0
23/11/2025,Jeju United FC,Daegu FC,1,1
30/11/2025,Daegu FC,FC Anyang,2,2
30/11/2025,Gangwon FC,Pohang Steelers,1,0
30/11/2025,Gimcheon Sangmu FC,Daejeon Citizen,0,3
30/11/2025,Jeonbuk Motors,FC Seoul,2,1
30/11/2025,Suwon City FC,Gwangju FC,0,1
30/11/2025,Ulsan Hyundai FC,Jeju United FC,0,1
03/12/2025,Suwon Bluewings,Jeju United FC,0,1
05/12/2025,Bucheon FC 1995,Suwon City FC,1,0
07/12/2025,Jeju United FC,Suwon Bluewings,2,0
08/12/2025,Suwon City FC,Bucheon FC 1995,2,3
28/02/2026,Gimcheon Sangmu FC,Pohang Steelers,1,1
