Date,HomeTeam,AwayTeam,FTHG,FTAG
03/06/2025,FC Cincinnati II,Philadelphia Union II,1,4
04/06/2025,Crown Legacy,New York RB II,2,5
05/06/2025,St. Louis City II,North Texas,2,0
06/06/2025,Atlanta United II,New York City II,2,3
07/06/2025,Huntsville City,Orlando City II,2,3
09/06/2025,Colorado Rapids II,Austin II,1,0
11/06/2025,Atlanta United II,Huntsville City,0,1
11/06/2025,Carolina Core,Orlando City II,1,0
12/06/2025,Portland Timbers II,Ventura County,2,3
12/06/2025,Real Monarchs,Tacoma Defiance,2,1
12/06/2025,Toronto II,Inter Miami II,2,0
13/06/2025,Minnesota United II,Houston Dynamo FC II,4,1
13/06/2025,Vancouver Whitecaps II,Los Angeles FC II,2,0
15/06/2025,New England II,FC Cincinnati II,0,1
15/06/2025,New York RB II,Chattanooga,5,2
15/06/2025,North Texas,Austin II,1,2
15/06/2025,Philadelphia Union II,Crown Legacy,3,0
16/06/2025,Colorado Rapids II,St. Louis City II,2,3
16/06/2025,Minnesota United II,Ventura County,0,2
21/06/2025,Carolina Core,New York RB II,1,2
21/06/2025,Columbus Crew II,Philadelphia Union II,1,3
21/06/2025,Vancouver Whitecaps II,North Texas,4,3
22/06/2025,St. Louis City II,The Town,3,1
25/06/2025,Inter Miami II,Chicago Fire II,1,3
25/06/2025,Orlando City II,Toronto II,1,2
26/06/2025,Los Angeles FC II,Minnesota United II,1,0
28/06/2025,Austin II,Sporting KC II,1,0
28/06/2025,Columbus Crew II,Carolina Core,1,0
28/06/2025,St. Louis City II,Houston Dynamo FC II,1,0
29/06/2025,Los Angeles FC II,Tacoma Defiance,2,3
29/06/2025,Minnesota United II,Colorado Rapids II,2,1
29/06/2025,Vancouver Whitecaps II,Real Monarchs,2,3
04/07/2025,Carolina Core,Inter Miami II,1,2
04/07/2025,North Texas,Minnesota United II,3,1
04/07/2025,Ventura County,Vancouver Whitecaps II,1,2
05/07/2025,Austin II,Los Angeles FC II,4,1
05/07/2025,Chattanooga,Chicago Fire II,0,1
05/07/2025,Columbus Crew II,New England II,1,2
05/07/2025,Sporting KC II,Portland Timbers II,0,4
06/07/2025,New York RB II,Huntsville City,1,2
06/07/2025,Philadelphia Union II,Toronto II,5,0
07/07/2025,Colorado Rapids II,Houston Dynamo FC II,2,1
07/07/2025,Real Monarchs,St. Louis City II,1,3
12/07/2025,Austin II,St. Louis City II,2,4
13/07/2025,Atlanta United II,Columbus Crew II,3,2
13/07/2025,Chicago Fire II,New England II,3,4
13/07/2025,FC Cincinnati II,Huntsville City,1,0
13/07/2025,Inter Miami II,Crown Legacy,3,4
13/07/2025,Minnesota United II,Real Monarchs,2,1
13/07/2025,Orlando City II,Carolina Core,3,1
14/07/2025,Houston Dynamo FC II,North Texas,3,0
14/07/2025,Los Angeles FC II,Portland Timbers II,1,0
14/07/2025,The Town,Sporting KC II,3,1
16/07/2025,New York City II,Toronto II,1,0
18/07/2025,Houston Dynamo FC II,Vancouver Whitecaps II,2,4
19/07/2025,Crown Legacy,Philadelphia Union II,0,4
19/07/2025,Huntsville City,Columbus Crew II,2,1
19/07/2025,Sporting KC II,North Texas,1,4
20/07/2025,New England II,Orlando City II,3,0
20/07/2025,New York RB II,New York City II,4,2
20/07/2025,Toronto II,Chicago Fire II,2,3
21/07/2025,Colorado Rapids II,Tacoma Defiance,6,4
23/07/2025,The Town,Minnesota United II,3,2
26/07/2025,Austin II,Houston Dynamo FC II,2,0
26/07/2025,Chattanooga,Crown Legacy,1,3
26/07/2025,Huntsville City,Orlando City II,4,0
26/07/2025,New York City II,Philadelphia Union II,0,2
27/07/2025,Chicago Fire II,New York RB II,9,2
27/07/2025,Columbus Crew II,Toronto II,1,2
27/07/2025,Inter Miami II,FC Cincinnati II,0,3
27/07/2025,St. Louis City II,Minnesota United II,4,0
27/07/2025,The Town,Real Monarchs,4,0
28/07/2025,Los Angeles FC II,Sporting KC II,1,3
28/07/2025,Tacoma Defiance,Portland Timbers II,1,2
30/07/2025,Carolina Core,Philadelphia Union II,3,2
30/07/2025,New England II,Atlanta United II,3,0
31/07/2025,Columbus Crew II,New York RB II,1,2
01/08/2025,Vancouver Whitecaps II,Sporting KC II,2,3
02/08/2025,Carolina Core,New England II,1,0
02/08/2025,Chattanooga,Toronto II,1,2
02/08/2025,Crown Legacy,Huntsville City,0,4
02/08/2025,Tacoma Defiance,Ventura County,4,6
03/08/2025,Chicago Fire II,Columbus Crew II,6,1
03/08/2025,Inter Miami II,Atlanta United II,2,1
03/08/2025,North Texas,Colorado Rapids II,1,4
03/08/2025,Orlando City II,New York City II,1,4
03/08/2025,Philadelphia Union II,FC Cincinnati II,1,0
03/08/2025,Sporting KC II,Austin II,1,3
04/08/2025,Los Angeles FC II,The Town,3,4
04/08/2025,Portland Timbers II,Real Monarchs,1,2
07/08/2025,Vancouver Whitecaps II,St. Louis City II,2,4
08/08/2025,Toronto II,Atlanta United II,1,3
09/08/2025,Minnesota United II,Sporting KC II,3,2
10/08/2025,Houston Dynamo FC II,Real Monarchs,0,4
10/08/2025,Huntsville City,Carolina Core,3,2
10/08/2025,The Town,Vancouver Whitecaps II,2,1
11/08/2025,FC Cincinnati II,Crown Legacy,4,3
11/08/2025,New York RB II,Philadelphia Union II,2,0
11/08/2025,Tacoma Defiance,Los Angeles FC II,4,2
15/08/2025,New England II,New York RB II,4,2
15/08/2025,Toronto II,FC Cincinnati II,1,0
16/08/2025,Carolina Core,Chattanooga,0,1
16/08/2025,Chicago Fire II,Philadelphia Union II,2,0
16/08/2025,Colorado Rapids II,Austin II,4,1
16/08/2025,The Town,Ventura County,4,1
17/08/2025,Atlanta United II,Crown Legacy,1,0
17/08/2025,Columbus Crew II,Orlando City II,2,1
17/08/2025,Huntsville City,New York City II,2,1
17/08/2025,North Texas,St. Louis City II,1,3
17/08/2025,Sporting KC II,Houston Dynamo FC II,1,3
18/08/2025,Real Monarchs,Los Angeles FC II,0,1
21/08/2025,Colorado Rapids II,Portland Timbers II,1,0
22/08/2025,Crown Legacy,Inter Miami II,6,0
22/08/2025,Los Angeles FC II,Vancouver Whitecaps II,1,3
22/08/2025,New York City II,Columbus Crew II,3,1
23/08/2025,Austin II,Ventura County,2,1
23/08/2025,Chattanooga,Huntsville City,1,0
23/08/2025,Houston Dynamo FC II,The Town,0,1
23/08/2025,Orlando City II,Atlanta United II,2,1
24/08/2025,FC Cincinnati II,Carolina Core,2,3
24/08/2025,New York RB II,Chicago Fire II,1,0
24/08/2025,Philadelphia Union II,New England II,1,3
24/08/2025,St. Louis City II,Sporting KC II,3,0
25/08/2025,North Texas,Los Angeles FC II,0,4
25/08/2025,Portland Timbers II,Tacoma Defiance,2,1
25/08/2025,Real Monarchs,Minnesota United II,3,2
27/08/2025,Atlanta United II,Inter Miami II,4,1
30/08/2025,Atlanta United II,Huntsville City,2,0
30/08/2025,Los Angeles FC II,Austin II,1,0
31/08/2025,FC Cincinnati II,Philadelphia Union II,1,2
31/08/2025,New York RB II,Columbus Crew II,7,4
31/08/2025,Orlando City II,Crown Legacy,1,0
31/08/2025,Sporting KC II,Colorado Rapids II,2,3
31/08/2025,Toronto II,New York City II,3,0
31/08/2025,Vancouver Whitecaps II,Portland Timbers II,4,1
01/09/2025,Minnesota United II,The Town,1,0
01/09/2025,Real Monarchs,Tacoma Defiance,3,0
01/09/2025,Ventura County,North Texas,0,1
04/09/2025,Crown Legacy,Carolina Core,3,4
05/09/2025,Minnesota United II,Austin II,1,0
05/09/2025,Tacoma Defiance,Vancouver Whitecaps II,1,3
06/09/2025,Sporting KC II,Real Monarchs,2,1
07/09/2025,Columbus Crew II,Inter Miami II,4,0
08/09/2025,New England II,Huntsville City,1,0
10/09/2025,Chicago Fire II,FC Cincinnati II,2,1
12/09/2025,Crown Legacy,Chattanooga,2,4
12/09/2025,New England II,Toronto II,2,1
13/09/2025,Carolina Core,Atlanta United II,4,2
13/09/2025,Tacoma Defiance,Austin II,1,2
13/09/2025,Vancouver Whitecaps II,The Town,3,1
14/09/2025,Colorado Rapids II,Houston Dynamo FC II,0,1
14/09/2025,Columbus Crew II,Philadelphia Union II,1,3
14/09/2025,Huntsville City,New York RB II,2,3
14/09/2025,Portland Timbers II,Los Angeles FC II,5,3
15/09/2025,Chicago Fire II,New York City II,4,5
15/09/2025,Real Monarchs,Ventura County,2,1
18/09/2025,Houston Dynamo FC II,Tacoma Defiance,1,2
18/09/2025,New York City II,New England II,1,3
20/09/2025,Austin II,St. Louis City II,1,2
20/09/2025,Crown Legacy,Atlanta United II,0,1
20/09/2025,Los Angeles FC II,Real Monarchs,1,3
21/09/2025,FC Cincinnati II,New England II,3,1
