Date,HomeTeam,AwayTeam,FTHG,FTAG
22/12/2024,Torreense,Penafiel,0,1
29/12/2024,Mafra,Feirense,0,0
29/12/2024,Maritimo,Oliveirense,1,2
29/12/2024,Penafiel,Benfica B,1,1
04/01/2025,Chaves,Penafiel,0,1
04/01/2025,Feirense,Leixoes,1,0
04/01/2025,Portimonense,Alverca,1,0
04/01/2025,Tondela,União de Leiria,1,4
05/01/2025,Oliveirense,Felgueiras 1932,0,3
05/01/2025,Pacos Ferreira,Academico Viseu,4,3
05/01/2025,Torreense,Mafra,1,0
05/01/2025,Vizela,Maritimo,3,2
06/01/2025,Benfica B,FC Porto B,2,1
12/01/2025,Academico Viseu,Vizela,0,0
12/01/2025,Alverca,Tondela,1,1
12/01/2025,FC Porto B,Portimonense,1,2
12/01/2025,Felgueiras 1932,Pacos Ferreira,1,0
12/01/2025,Leixoes,Torreense,1,1
12/01/2025,União de Leiria,Chaves,1,1
17/01/2025,Benfica B,Leixoes,4,0
17/01/2025,Chaves,Academico Viseu,3,0
18/01/2025,Alverca,FC Porto B,2,0
18/01/2025,Feirense,Torreense,1,1
18/01/2025,Portimonense,Felgueiras 1932,3,2
19/01/2025,Pacos Ferreira,Mafra,2,1
19/01/2025,Tondela,Maritimo,0,0
19/01/2025,Vizela,União de Leiria,1,0
20/01/2025,Oliveirense,Penafiel,2,2
24/01/2025,Academico Viseu,Feirense,2,1
25/01/2025,Felgueiras 1932,Alverca,0,1
25/01/2025,Leixoes,Chaves,0,0
25/01/2025,Maritimo,Pacos Ferreira,2,2
26/01/2025,FC Porto B,Tondela,2,2
26/01/2025,Mafra,Oliveirense,0,0
26/01/2025,Penafiel,Vizela,1,1
26/01/2025,União de Leiria,Portimonense,1,0
27/01/2025,Torreense,Benfica B,1,1
31/01/2025,Pacos Ferreira,Leixoes,0,0
01/02/2025,FC Porto B,Academico Viseu,3,2
01/02/2025,Feirense,Felgueiras 1932,3,2
01/02/2025,Portimonense,Mafra,2,0
01/02/2025,Tondela,Penafiel,2,0
01/02/2025,Vizela,Benfica B,1,0
02/02/2025,Alverca,União de Leiria,2,1
02/02/2025,Chaves,Maritimo,1,1
02/02/2025,Oliveirense,Torreense,0,0
07/02/2025,Benfica B,Feirense,0,1
08/02/2025,Felgueiras 1932,Tondela,1,0
08/02/2025,Leixoes,Oliveirense,1,2
08/02/2025,Maritimo,Portimonense,2,0
08/02/2025,Penafiel,Pacos Ferreira,1,2
09/02/2025,Academico Viseu,Alverca,2,2
09/02/2025,Mafra,Chaves,0,0
09/02/2025,União de Leiria,FC Porto B,0,0
10/02/2025,Torreense,Vizela,2,4
15/02/2025,Chaves,Felgueiras 1932,2,0
15/02/2025,Pacos Ferreira,Feirense,1,2
15/02/2025,Tondela,Mafra,1,0
16/02/2025,Alverca,Maritimo,5,0
16/02/2025,FC Porto B,Penafiel,3,2
16/02/2025,Oliveirense,Benfica B,3,2
16/02/2025,Portimonense,Torreense,1,2
16/02/2025,Vizela,Leixoes,0,0
17/02/2025,União de Leiria,Academico Viseu,1,1
21/02/2025,Penafiel,Portimonense,3,0
22/02/2025,Benfica B,Pacos Ferreira,0,0
22/02/2025,Feirense,Oliveirense,3,1
22/02/2025,Felgueiras 1932,FC Porto B,1,0
22/02/2025,Mafra,Vizela,1,4
22/02/2025,Maritimo,União de Leiria,1,2
23/02/2025,Academico Viseu,Tondela,1,1
23/02/2025,Leixoes,Alverca,1,1
23/02/2025,Torreense,Chaves,1,2
28/02/2025,Chaves,Benfica B,1,2
01/03/2025,Academico Viseu,Felgueiras 1932,0,0
01/03/2025,Alverca,Mafra,2,0
01/03/2025,Tondela,Torreense,2,2
02/03/2025,FC Porto B,Maritimo,0,1
02/03/2025,Portimonense,Leixoes,2,1
02/03/2025,União de Leiria,Penafiel,1,0
02/03/2025,Vizela,Feirense,5,0
03/03/2025,Pacos Ferreira,Oliveirense,0,1
07/03/2025,Feirense,Chaves,0,1
08/03/2025,Felgueiras 1932,União de Leiria,2,2
08/03/2025,Penafiel,Alverca,3,2
08/03/2025,Torreense,Pacos Ferreira,3,0
09/03/2025,Benfica B,Portimonense,0,0
09/03/2025,Mafra,FC Porto B,0,0
09/03/2025,Maritimo,Academico Viseu,1,1
09/03/2025,Oliveirense,Vizela,0,1
10/03/2025,Leixoes,Tondela,0,1
14/03/2025,Alverca,Torreense,2,2
14/03/2025,Portimonense,Feirense,1,2
15/03/2025,Academico Viseu,Penafiel,1,0
15/03/2025,Chaves,Oliveirense,4,0
15/03/2025,Maritimo,Felgueiras 1932,0,0
16/03/2025,FC Porto B,Leixoes,0,1
16/03/2025,Tondela,Benfica B,2,1
16/03/2025,União de Leiria,Mafra,3,1
16/03/2025,Vizela,Pacos Ferreira,2,1
29/03/2025,Oliveirense,Tondela,1,3
29/03/2025,Penafiel,Maritimo,0,1
29/03/2025,Vizela,Portimonense,3,2
30/03/2025,Feirense,Alverca,0,1
30/03/2025,Leixoes,União de Leiria,0,1
30/03/2025,Pacos Ferreira,Chaves,2,0
30/03/2025,Torreense,FC Porto B,2,4
31/03/2025,Benfica B,Academico Viseu,1,0
31/03/2025,Mafra,Felgueiras 1932,1,0
05/04/2025,Chaves,Vizela,1,2
05/04/2025,Felgueiras 1932,Penafiel,1,0
05/04/2025,Maritimo,Leixoes,1,1
05/04/2025,Tondela,Feirense,2,1
06/04/2025,Academico Viseu,Mafra,3,1
06/04/2025,Alverca,Benfica B,0,0
06/04/2025,FC Porto B,Pacos Ferreira,1,0
06/04/2025,Portimonense,Oliveirense,2,3
06/04/2025,União de Leiria,Torreense,1,3
11/04/2025,Feirense,União de Leiria,2,1
12/04/2025,Chaves,Portimonense,2,0
12/04/2025,Leixoes,Academico Viseu,1,1
12/04/2025,Pacos Ferreira,Tondela,0,1
13/04/2025,Benfica B,Maritimo,1,2
13/04/2025,Oliveirense,FC Porto B,1,1
13/04/2025,Torreense,Felgueiras 1932,1,1
13/04/2025,Vizela,Alverca,1,1
14/04/2025,Mafra,Penafiel,4,2
18/04/2025,Felgueiras 1932,Leixoes,4,0
18/04/2025,Portimonense,Pacos Ferreira,2,0
