Date,HomeTeam,AwayTeam,FTHG,FTAG
13/07/2025,Gais,Hammarby FF,3,2
13/07/2025,IF Brommapojkarna,Osters IF,2,0
13/07/2025,IFK Varnamo,Djurgardens IF,1,0
14/07/2025,Sirius,Mjallby AIF,1,2
19/07/2025,Degerfors IF,Gais,0,3
19/07/2025,Djurgardens IF,IF Elfsborg,1,0
19/07/2025,Osters IF,Malmo FF,0,2
20/07/2025,Halmstad,BK Hacken,0,0
20/07/2025,Hammarby FF,IF Brommapojkarna,3,2
20/07/2025,Mjallby AIF,AIK Stockholm,2,0
20/07/2025,Sirius,IFK Goteborg,0,1
21/07/2025,IFK Norrkoping,IFK Varnamo,3,1
26/07/2025,Degerfors IF,IFK Norrkoping,0,0
26/07/2025,Gais,Halmstad,3,0
26/07/2025,IF Brommapojkarna,Malmo FF,2,3
27/07/2025,AIK Stockholm,Osters IF,0,0
27/07/2025,BK Hacken,Djurgardens IF,1,6
27/07/2025,IFK Varnamo,Hammarby FF,2,3
27/07/2025,Mjallby AIF,Sirius,2,1
28/07/2025,IF Elfsborg,IFK Goteborg,4,3
02/08/2025,IF Brommapojkarna,IFK Norrkoping,6,4
02/08/2025,IFK Varnamo,Gais,2,2
03/08/2025,BK Hacken,IF Elfsborg,1,2
03/08/2025,Djurgardens IF,Halmstad,1,1
03/08/2025,Sirius,Osters IF,1,1
04/08/2025,IFK Goteborg,Degerfors IF,3,0
09/08/2025,Halmstad,Sirius,0,1
09/08/2025,Malmo FF,Mjallby AIF,1,3
10/08/2025,AIK Stockholm,Djurgardens IF,0,0
10/08/2025,Degerfors IF,BK Hacken,0,0
10/08/2025,IFK Norrkoping,Hammarby FF,0,2
10/08/2025,Osters IF,IF Brommapojkarna,1,1
11/08/2025,Gais,IFK Goteborg,0,1
11/08/2025,IF Elfsborg,IFK Varnamo,2,2
16/08/2025,Halmstad,Malmo FF,0,4
16/08/2025,IFK Norrkoping,IF Elfsborg,2,1
17/08/2025,BK Hacken,Osters IF,0,2
17/08/2025,Hammarby FF,Gais,1,2
17/08/2025,IF Brommapojkarna,Sirius,2,4
17/08/2025,IFK Goteborg,AIK Stockholm,2,1
17/08/2025,Mjallby AIF,Djurgardens IF,1,1
18/08/2025,IFK Varnamo,Degerfors IF,3,2
24/08/2025,Degerfors IF,AIK Stockholm,0,1
24/08/2025,Djurgardens IF,IF Brommapojkarna,1,0
24/08/2025,IF Elfsborg,Halmstad,1,2
24/08/2025,IFK Varnamo,BK Hacken,1,5
24/08/2025,Malmo FF,IFK Goteborg,0,0
24/08/2025,Sirius,Hammarby FF,3,1
25/08/2025,Gais,Mjallby AIF,0,2
25/08/2025,Osters IF,IFK Norrkoping,1,2
30/08/2025,IF Brommapojkarna,IF Elfsborg,3,0
30/08/2025,IFK Goteborg,IFK Varnamo,1,0
30/08/2025,Mjallby AIF,Halmstad,1,0
31/08/2025,AIK Stockholm,Sirius,2,1
31/08/2025,Gais,BK Hacken,2,1
31/08/2025,Hammarby FF,Osters IF,4,0
31/08/2025,IFK Norrkoping,Djurgardens IF,0,4
31/08/2025,Malmo FF,Degerfors IF,1,1
13/09/2025,Degerfors IF,Mjallby AIF,0,1
13/09/2025,Halmstad,IFK Norrkoping,1,1
14/09/2025,Djurgardens IF,Hammarby FF,3,3
14/09/2025,IF Elfsborg,Malmo FF,2,2
14/09/2025,Osters IF,IFK Varnamo,4,3
14/09/2025,Sirius,Gais,3,0
15/09/2025,AIK Stockholm,IF Brommapojkarna,2,1
15/09/2025,BK Hacken,IFK Goteborg,1,2
20/09/2025,Gais,IF Elfsborg,2,0
20/09/2025,Malmo FF,Djurgardens IF,0,1
20/09/2025,Mjallby AIF,Osters IF,1,1
21/09/2025,Hammarby FF,BK Hacken,4,0
21/09/2025,IFK Goteborg,IF Brommapojkarna,0,1
21/09/2025,Sirius,Degerfors IF,1,3
22/09/2025,IFK Norrkoping,AIK Stockholm,3,1
22/09/2025,IFK Varnamo,Halmstad,1,2
27/09/2025,BK Hacken,IFK Norrkoping,2,0
27/09/2025,IF Elfsborg,Degerfors IF,1,2
28/09/2025,AIK Stockholm,Gais,1,1
28/09/2025,Halmstad,Hammarby FF,1,0
28/09/2025,IF Brommapojkarna,Mjallby AIF,0,1
28/09/2025,Malmo FF,IFK Varnamo,3,2
29/09/2025,Djurgardens IF,Sirius,8,2
29/09/2025,Osters IF,IFK Goteborg,0,2
04/10/2025,Degerfors IF,Djurgardens IF,1,1
04/10/2025,Gais,IFK Norrkoping,2,1
04/10/2025,Mjallby AIF,IF Elfsborg,2,0
04/10/2025,Osters IF,Halmstad,3,0
05/10/2025,AIK Stockholm,IFK Varnamo,2,3
